ticker,date_removed,reason
CVG,"December 18, 2009",Convergys
MBI,"December 18, 2009",MBIA
SGP,"November 3, 2009",Schering-Plough
CTX,"August 19, 2009",Centex Corp.
TEL,"June 25, 2009",TE Connectivity
ACAS,"March 3, 2009",American Capital
JNY,"March 3, 2009",Jones Apparel Group
WB,"December 31, 2008",Wachovia Bank
LEH,"September 16, 2008",Lehman Brothers
FRE,"September 12, 2008",Freddie Mac
FNM,"September 12, 2008",Fannie Mae
CFC,"July 1, 2008",Countrywide Financial Corp
BC,"June 23, 2008",Brunswick
OMX,"June 23, 2008",OfficeMax
ABK,"June 10, 2008",Ambac Financial
TRB,"December 20, 2007",Tribune Media
DJ,"December 13, 2007",Dow Jones
AV,"October 26, 2007",Avaya
SLR,"October 2, 2007",Solectron
NCR,"October 1, 2007",NCR Corporation
FDC,"September 26, 2007",First Data
KSE,"August 24, 2007",KeySpan
ADCT,"July 2, 2007",ADC Telecommunications
TSG,"March 30, 2007",Sabre Corporation
SBL,"January 10, 2007",Symbol Technologies
ABS,"June 2, 2006",Albertsons
T,"November 18, 2005",AT&T Corporation
GLK,"July 1, 2005",Great Lakes Chemical
QTRN,"September 25, 2003",Quintiles Transnational
BS,"December 5, 2000",Bethlehem Steel
GRA,"December 5, 2000",WR Grace
CCK,"December 5, 2000",Crown Holdings
RAD,"July 27, 2000",Rite Aid
TMC,"June 12, 2000",Times Mirror
SMS,"June 7, 2000",Shared Medical Systems
LDW,"December 8, 1999",Laidlaw
HPH,"June 9, 1999",Harnischfeger Industries
GRN,"December 11, 1998",General Re
USL,"June 17, 1997",USLife
MCK,"September 30, 1994",McKesson
HNG,"July 1, 1976",Houston Natural Gas
